,precision,recall,f1-score,support
B-action,0.5566037735849056,0.7763157894736842,0.6483516483516483,76.0
B-alphabet,1.0,1.0,1.0,3.0
B-callsign,0.9512195121951219,0.78,0.8571428571428571,100.0
B-clearance,0.9111111111111111,0.9534883720930233,0.9318181818181819,43.0
B-request,0.5,0.09090909090909091,0.15384615384615385,11.0
I-action,0.3888888888888889,0.7,0.5,50.0
I-callsign,1.0,1.0,1.0,8.0
I-clearance,0.88,0.676923076923077,0.7652173913043478,65.0
I-request,0.38461538461538464,0.3125,0.3448275862068966,16.0
L-action,0.49,0.6621621621621622,0.5632183908045978,74.0
L-alphabet,1.0,1.0,1.0,3.0
L-callsign,0.8620689655172413,0.9803921568627451,0.9174311926605505,102.0
L-clearance,0.8478260869565217,0.9285714285714286,0.8863636363636365,42.0
L-request,1.0,0.18181818181818182,0.3076923076923077,11.0
O,0.9601536245799328,0.9161704076958315,0.9376465072667605,2183.0
U-action,0.9371069182389937,0.7412935323383084,0.8277777777777778,201.0
U-alphabet,0.9629629629629629,0.7878787878787878,0.8666666666666665,99.0
U-callsign,0.90633608815427,0.9850299401197605,0.9440459110473458,334.0
U-number,0.9708057609964967,0.9976,0.9840205168672322,2500.0
accuracy,0.9317682823847323,0.9317682823847323,0.9317682823847323,0.9317682823847323
macro avg,0.8162999514632542,0.7616343645708463,0.7597929855693139,5921.0
weighted avg,0.9388848976211955,0.9317682823847323,0.9324948806199905,5921.0
