,precision,recall,f1-score,support
B-action,0.7205882352941176,0.6447368421052632,0.6805555555555556,76.0
B-alphabet,1.0,1.0,1.0,3.0
B-callsign,0.9375,0.9,0.9183673469387755,100.0
B-clearance,0.9333333333333333,0.9767441860465116,0.9545454545454545,43.0
B-request,0.75,0.2727272727272727,0.39999999999999997,11.0
I-action,0.9444444444444444,0.34,0.5,50.0
I-callsign,1.0,0.875,0.9333333333333333,8.0
I-clearance,0.8771929824561403,0.7692307692307693,0.819672131147541,65.0
I-request,0.7777777777777778,0.4375,0.56,16.0
L-action,0.5308641975308642,0.581081081081081,0.5548387096774193,74.0
L-alphabet,1.0,1.0,1.0,3.0
L-callsign,0.9662921348314607,0.8431372549019608,0.900523560209424,102.0
L-clearance,0.8636363636363636,0.9047619047619048,0.8837209302325582,42.0
L-request,1.0,0.18181818181818182,0.3076923076923077,11.0
O,0.9445983379501385,0.9372423270728355,0.9409059553920441,2183.0
U-action,0.8936170212765957,0.835820895522388,0.8637532133676092,201.0
U-alphabet,0.948051948051948,0.7373737373737373,0.8295454545454545,99.0
U-callsign,0.8487179487179487,0.9910179640718563,0.914364640883978,334.0
U-number,0.9704739704739704,0.9992,0.9846275128104061,2500.0
accuracy,0.9383550076000675,0.9383550076000675,0.9383550076000675,0.9383550076000675
macro avg,0.8898467734618475,0.7488101271954611,0.7866550582279926,5921.0
weighted avg,0.9386741736734392,0.9383550076000675,0.9356233402049773,5921.0
