,precision,recall,f1-score,support
B-action,0.5098039215686274,0.6842105263157895,0.5842696629213484,76.0
B-alphabet,0.0,0.0,0.0,3.0
B-callsign,0.8045977011494253,0.7,0.7486631016042781,100.0
B-clearance,0.8863636363636364,0.9069767441860465,0.896551724137931,43.0
B-request,0.0,0.0,0.0,11.0
I-action,0.7666666666666667,0.46,0.575,50.0
I-callsign,0.8888888888888888,1.0,0.9411764705882353,8.0
I-clearance,0.9024390243902439,0.5692307692307692,0.6981132075471698,65.0
I-request,0.6666666666666666,0.25,0.36363636363636365,16.0
L-action,0.5142857142857142,0.7297297297297297,0.6033519553072625,74.0
L-alphabet,0.0,0.0,0.0,3.0
L-callsign,0.7171717171717171,0.696078431372549,0.7064676616915423,102.0
L-clearance,0.8780487804878049,0.8571428571428571,0.8674698795180722,42.0
L-request,0.0,0.0,0.0,11.0
O,0.9489894128970163,0.9033440219880898,0.9256043182351561,2183.0
U-action,0.8031914893617021,0.7512437810945274,0.7763496143958868,201.0
U-alphabet,0.7980769230769231,0.8383838383838383,0.8177339901477833,99.0
U-callsign,0.7894736842105263,0.9880239520958084,0.8776595744680852,334.0
U-number,0.9708057609964967,0.9976,0.9840205168672322,2500.0
accuracy,0.9160614761020098,0.9160614761020098,0.9160614761020098,0.9160614761020098
macro avg,0.6234457888516871,0.5964191921863161,0.5982141074245446,5921.0
weighted avg,0.9158872597739367,0.9160614761020098,0.9135660726473298,5921.0
